timestamp,num_venues,num_events,scrape_time_s,regions
2025-06-06 11:20:07.750919,18,789,227.1,"sf,la"
2025-06-07 11:16:47.301327,18,791,175.0,"sf,la"
2025-06-08 11:17:07.337899,18,791,179.5,"sf,la"
2025-06-09 11:20:40.469576,18,791,259.9,"sf,la"
2025-06-10 11:19:07.023449,18,791,185.7,"sf,la"
2025-06-11 11:20:27.811677,18,791,228.8,"sf,la"
2025-06-12 11:19:33.415750,18,791,202.7,"sf,la"
2025-06-13 11:20:06.071116,18,791,237.3,"sf,la"
2025-06-14 11:18:03.151974,18,792,247.3,"sf,la"
2025-06-15 11:17:48.472696,18,792,208.3,"sf,la"
2025-06-16 11:19:43.597606,18,792,197.3,"sf,la"
2025-06-17 11:19:04.387865,18,792,171.9,"sf,la"
2025-06-18 11:19:27.062897,18,793,186.6,"sf,la"
2025-06-19 11:19:29.594578,18,795,183.7,"sf,la"
2025-06-20 11:19:38.060075,18,795,211.9,"sf,la"
2025-06-21 11:18:52.868915,18,795,188.3,"sf,la"
2025-06-22 11:17:39.457870,18,795,181.3,"sf,la"
2025-06-23 11:20:07.032102,18,795,194.0,"sf,la"
2025-06-24 11:19:46.393764,18,795,191.6,"sf,la"
2025-06-25 11:19:49.193974,18,795,190.5,"sf,la"
2025-06-26 11:19:31.027082,18,796,179.2,"sf,la"
2025-06-27 11:19:30.169915,18,796,181.8,"sf,la"
2025-06-28 11:17:32.051130,18,796,155.3,"sf,la"
2025-06-29 11:17:51.451973,18,796,186.8,"sf,la"
2025-06-30 11:19:14.677519,18,796,173.2,"sf,la"
2025-07-01 11:19:35.372901,18,796,186.5,"sf,la"
2025-07-02 11:19:11.369329,18,797,153.6,"sf,la"
